minutes,time
36,1/25/10
27,1/8/10
36,1/7/10
8,1/17/10
29,1/11/10
22,1/28/10
26,1/27/10
39,1/14/10
24,1/13/10
34,1/15/10
17,1/23/10
22,1/1/10
8,1/5/10
5,1/26/10
19,2/18/10
29,2/10/10
27,2/4/10
3,2/17/10
20,2/5/10
17,2/7/10
32,2/8/10
4,2/26/10
33,2/13/10
38,2/25/10
10,2/23/10
26,2/20/10
3,2/28/10
32,2/24/10
3,2/1/10
21,2/9/10
9,2/2/10
30,2/6/10
8,2/3/10
30,3/15/10
3,3/5/10
12,3/2/10
39,3/19/10
40,3/22/10
8,3/4/10
32,3/8/10
8,3/9/10
25,3/26/10
2,3/17/10
22,3/20/10
3,3/23/10
16,3/12/10
39,3/3/10
19,3/16/10
7,3/21/10
16,3/25/10
19,3/10/10
18,3/13/10
31,4/10/10
2,4/18/10
10,4/14/10
32,4/9/10
26,4/3/10
8,4/2/10
37,4/17/10
10,4/26/10
6,4/20/10
20,4/27/10
23,4/21/10
9,4/28/10
29,4/16/10
8,4/7/10
7,4/19/10
39,4/15/10
19,4/11/10
7,4/13/10
18,5/3/10
28,5/15/10
26,5/14/10
36,5/27/10
30,5/9/10
5,5/6/10
29,5/5/10
26,5/8/10
30,5/7/10
5,5/23/10
40,5/17/10
20,5/22/10
3,5/10/10
11,5/16/10
9,5/11/10
6,5/4/10
19,6/26/10
21,6/8/10
24,6/6/10
40,6/21/10
21,6/17/10
11,6/23/10
32,6/9/10
33,6/11/10
13,6/12/10
20,6/7/10
13,6/4/10
8,6/14/10
23,6/18/10
14,6/2/10
14,6/3/10
35,6/13/10
24,6/28/10
3,6/1/10
25,6/24/10
11,6/20/10
13,6/10/10
14,6/25/10
25,7/3/10
18,7/24/10
25,7/19/10
3,7/8/10
7,7/15/10
8,7/26/10
22,7/6/10
13,7/25/10
5,7/22/10
35,7/27/10
6,7/14/10
2,7/7/10
16,7/5/10
17,7/2/10
25,7/17/10
8,7/10/10
17,7/1/10
16,7/21/10
29,8/22/10
3,8/5/10
23,8/2/10
13,8/3/10
6,8/7/10
30,8/9/10
30,8/11/10
21,8/25/10
11,8/1/10
25,8/27/10
10,8/6/10
33,8/8/10
2,8/21/10
18,8/28/10
37,9/14/10
38,9/7/10
7,9/19/10
15,9/10/10
24,9/2/10
21,9/6/10
23,9/27/10
31,9/21/10
11,9/15/10
12,9/4/10
23,9/16/10
38,9/23/10
12,9/3/10
23,9/12/10
15,9/28/10
25,9/25/10
38,10/17/10
18,10/6/10
36,10/24/10
13,10/19/10
33,10/22/10
20,10/14/10
23,10/18/10
6,10/20/10
14,10/23/10
11,10/4/10
40,10/5/10
13,10/16/10
37,10/12/10
35,10/26/10
28,10/11/10
18,10/7/10
37,10/15/10
35,11/6/10
27,11/26/10
33,11/24/10
13,11/28/10
37,11/21/10
11,11/22/10
6,11/5/10
24,11/4/10
23,11/18/10
25,11/20/10
21,11/23/10
11,11/11/10
6,11/25/10
38,11/14/10
8,11/17/10
27,11/2/10
2,11/13/10
14,11/7/10
25,11/27/10
25,12/27/10
22,12/12/10
12,12/25/10
27,12/1/10
3,12/3/10
11,12/13/10
28,12/20/10
9,12/8/10
26,12/19/10
17,12/14/10
39,12/11/10
33,12/4/10
34,12/2/10
40,1/4/11
34,1/10/11
10,1/3/11
25,1/27/11
39,1/24/11
12,1/17/11
8,1/15/11
33,1/16/11
39,1/19/11
8,1/28/11
19,1/14/11
13,1/1/11
2,1/22/11
34,1/25/11
10,1/18/11
24,1/23/11
36,1/13/11
5,1/11/11
9,1/12/11
30,1/26/11
32,1/9/11
32,1/20/11
16,1/8/11
14,1/7/11
9,1/5/11
34,1/6/11
22,2/19/11
30,2/20/11
26,2/4/11
3,2/25/11
37,2/23/11
3,2/26/11
36,2/22/11
34,2/17/11
6,2/11/11
40,2/16/11
11,2/5/11
24,2/3/11
25,2/8/11
32,2/9/11
32,2/7/11
39,2/6/11
24,2/13/11
35,2/2/11
38,2/24/11
32,3/26/11
40,4/10/11
13,4/12/11
26,4/6/11
5,4/3/11
17,4/2/11
18,4/24/11
23,4/9/11
9,4/11/11
6,4/26/11
28,4/27/11
14,4/22/11
6,4/23/11
13,4/18/11
29,4/16/11
19,4/20/11
20,4/1/11
21,4/7/11
27,4/25/11
13,4/21/11
5,4/19/11
6,4/14/11
21,4/8/11
31,4/4/11
40,4/17/11
33,6/11/11
16,6/4/11
35,6/7/11
7,6/17/11
35,6/28/11
16,6/10/11
36,6/8/11
40,6/19/11
18,6/24/11
18,6/5/11
15,6/9/11
8,6/13/11
5,6/16/11
10,6/18/11
5,6/20/11
26,6/22/11
39,6/27/11
33,6/1/11
15,6/6/11
34,6/2/11
8,6/25/11
5,6/23/11
33,7/11/11
14,8/25/11
23,8/13/11
19,8/16/11
40,8/14/11
22,8/7/11
37,8/15/11
8,8/24/11
30,8/21/11
10,8/12/11
28,8/5/11
3,8/4/11
10,8/3/11
18,8/2/11
12,8/8/11
25,8/23/11
7,8/6/11
23,8/19/11
39,8/22/11
10,8/17/11
22,8/1/11
33,8/18/11
26,8/28/11
19,8/9/11
2,8/26/11
31,8/20/11
35,8/11/11
29,9/6/11
20,9/5/11
37,9/19/11
40,9/10/11
9,9/21/11
40,9/18/11
7,9/12/11
33,9/28/11
33,9/13/11
36,9/4/11
13,9/20/11
39,9/27/11
34,9/24/11
29,10/22/11
3,10/7/11
38,10/4/11
12,10/1/11
39,10/10/11
32,10/24/11
6,10/5/11
18,10/18/11
10,10/26/11
30,10/20/11
4,10/3/11
16,10/27/11
37,10/19/11
38,10/21/11
40,11/3/11
4,11/12/11
23,11/28/11
32,11/21/11
18,11/7/11
38,11/9/11
25,11/11/11
22,11/13/11
29,11/10/11
4,11/1/11
37,11/5/11
29,11/4/11
14,11/18/11
39,11/8/11
26,11/23/11
24,11/20/11
13,11/6/11
33,11/26/11
35,11/22/11
13,11/19/11
20,11/24/11
20,11/27/11
23,11/2/11
30,12/23/11
34,12/1/11
38,12/9/11
14,12/24/11
21,12/26/11
10,12/8/11
7,12/13/11
25,12/12/11
20,12/22/11
4,12/11/11
13,12/25/11
5,12/28/11
39,12/3/11
7,12/14/11
21,12/27/11
13,12/2/11
23,12/10/11
8,12/7/11
30,12/18/11
29,12/15/11
16,12/21/11
11,12/19/11
8,12/16/11
14,1/14/12
29,1/3/12
24,1/15/12
20,1/11/12
32,1/27/12
24,1/4/12
22,1/8/12
30,1/6/12
39,1/21/12
3,1/9/12
35,1/2/12
24,2/1/12
30,2/8/12
30,2/13/12
13,2/3/12
34,2/28/12
34,2/17/12
23,2/14/12
26,2/11/12
17,2/21/12
18,2/2/12
27,3/6/12
35,3/24/12
39,3/12/12
13,3/22/12
22,3/28/12
7,3/16/12
31,3/21/12
2,3/2/12
6,3/13/12
39,3/20/12
5,3/7/12
38,3/19/12
8,4/13/12
36,4/12/12
23,5/21/12
38,7/18/12
30,7/14/12
7,7/1/12
22,8/11/12
17,8/20/12
13,8/16/12
32,8/4/12
36,8/18/12
26,8/8/12
10,8/6/12
26,8/1/12
21,8/3/12
32,8/2/12
7,8/22/12
24,8/7/12
40,8/9/12
17,8/25/12
2,8/12/12
35,8/17/12
39,8/26/12
11,8/15/12
9,8/5/12
13,8/10/12
39,9/20/12
28,9/3/12
13,9/7/12
17,9/9/12
3,9/14/12
38,9/21/12
7,9/17/12
7,9/16/12
14,9/25/12
13,9/8/12
10,9/10/12
40,9/24/12
22,9/13/12
30,9/12/12
33,9/28/12
37,9/4/12
18,11/17/12
7,11/19/12
39,11/4/12
34,11/8/12
34,11/12/12
6,11/22/12
2,11/5/12
19,11/25/12
35,11/13/12
16,11/1/12
6,11/10/12
10,11/2/12
33,11/14/12
9,11/6/12
7,11/24/12
15,11/20/12
6,11/18/12
27,11/3/12
5,11/11/12
12,11/28/12
32,11/27/12
18,11/9/12
3,12/9/12
10,12/28/12
32,12/5/12
24,12/12/12
25,12/1/12
24,1/9/13
32,1/15/13
31,1/18/13
32,1/3/13
9,1/21/13
30,1/16/13
2,1/19/13
40,1/26/13
8,1/24/13
26,1/7/13
24,1/13/13
10,1/23/13
7,1/11/13
21,1/1/13
37,1/25/13
6,2/27/13
17,2/5/13
33,2/17/13
12,2/3/13
29,2/12/13
32,2/21/13
37,2/18/13
23,2/2/13
23,2/22/13
32,2/19/13
10,2/14/13
13,2/24/13
38,2/26/13
36,2/4/13
38,2/25/13
38,2/10/13
20,2/23/13
20,3/8/13
24,3/15/13
29,3/21/13
19,3/17/13
34,3/9/13
32,4/7/13
6,4/27/13
17,4/15/13
23,4/20/13
30,4/22/13
32,4/6/13
18,4/5/13
39,4/4/13
25,4/8/13
30,4/28/13
7,4/13/13
2,4/19/13
30,4/10/13
36,4/16/13
32,4/23/13
39,4/3/13
21,4/26/13
22,4/14/13
27,4/9/13
27,4/18/13
28,4/24/13
23,4/2/13
12,4/17/13
8,4/25/13
33,4/1/13
22,4/12/13
12,4/21/13
32,5/22/13
34,5/19/13
10,5/6/13
20,5/21/13
19,5/25/13
15,5/16/13
30,5/12/13
28,5/26/13
27,5/15/13
21,5/23/13
10,5/27/13
33,5/5/13
36,5/7/13
23,5/10/13
19,5/3/13
15,5/2/13
11,5/1/13
6,5/28/13
36,5/8/13
36,5/14/13
32,6/20/13
38,6/5/13
6,6/2/13
14,6/10/13
10,6/3/13
3,6/12/13
14,6/27/13
26,6/17/13
30,6/16/13
21,6/1/13
22,6/26/13
3,6/7/13
16,6/15/13
36,6/11/13
31,6/22/13
11,6/8/13
37,6/18/13
21,7/13/13
23,7/28/13
33,7/2/13
19,7/19/13
2,7/17/13
22,7/9/13
3,7/24/13
33,7/14/13
38,7/3/13
16,7/8/13
25,7/12/13
4,7/20/13
5,7/25/13
9,7/16/13
39,7/1/13
19,7/23/13
3,7/18/13
18,7/7/13
17,7/11/13
10,7/6/13
5,7/21/13
25,7/4/13
34,7/15/13
6,7/27/13
29,7/10/13
35,7/26/13
19,8/27/13
37,8/21/13
2,8/7/13
12,8/6/13
17,8/3/13
5,8/23/13
27,8/11/13
27,8/4/13
40,8/24/13
22,8/18/13
22,8/26/13
21,8/1/13
12,8/22/13
6,8/8/13
18,8/14/13
21,8/17/13
29,8/9/13
25,8/19/13
27,8/10/13
4,9/11/13
29,9/27/13
12,9/17/13
33,9/15/13
10,9/6/13
9,9/22/13
35,9/4/13
6,9/16/13
24,9/25/13
39,9/19/13
9,9/3/13
3,9/28/13
4,10/15/13
11,10/26/13
28,10/19/13
39,10/21/13
12,10/2/13
10,10/18/13
33,11/6/13
13,11/5/13
38,11/26/13
22,11/13/13
25,11/23/13
37,12/1/13
34,12/9/13
22,12/21/13
16,12/23/13
12,12/25/13
22,12/3/13
40,12/27/13
23,12/24/13
11,12/11/13
36,12/13/13
6,12/5/13
39,12/20/13
6,12/10/13
8,12/17/13
31,12/28/13
3,12/8/13
17,12/15/13
17,12/26/13
27,12/6/13
30,12/7/13
