minutes,time
36,"Monday, January 25, 10"
27,"Friday, January 8, 10"
36,"Thursday, January 7, 10"
8,"Sunday, January 17, 10"
29,"Monday, January 11, 10"
22,"Thursday, January 28, 10"
26,"Wednesday, January 27, 10"
39,"Thursday, January 14, 10"
24,"Wednesday, January 13, 10"
34,"Friday, January 15, 10"
17,"Saturday, January 23, 10"
22,"Friday, January 1, 10"
8,"Tuesday, January 5, 10"
5,"Tuesday, January 26, 10"
19,"Thursday, February 18, 10"
29,"Wednesday, February 10, 10"
27,"Thursday, February 4, 10"
3,"Wednesday, February 17, 10"
20,"Friday, February 5, 10"
17,"Sunday, February 7, 10"
32,"Monday, February 8, 10"
4,"Friday, February 26, 10"
33,"Saturday, February 13, 10"
38,"Thursday, February 25, 10"
10,"Tuesday, February 23, 10"
26,"Saturday, February 20, 10"
3,"Sunday, February 28, 10"
32,"Wednesday, February 24, 10"
3,"Monday, February 1, 10"
21,"Tuesday, February 9, 10"
9,"Tuesday, February 2, 10"
30,"Saturday, February 6, 10"
8,"Wednesday, February 3, 10"
30,"Monday, March 15, 10"
3,"Friday, March 5, 10"
12,"Tuesday, March 2, 10"
39,"Friday, March 19, 10"
40,"Monday, March 22, 10"
8,"Thursday, March 4, 10"
32,"Monday, March 8, 10"
8,"Tuesday, March 9, 10"
25,"Friday, March 26, 10"
2,"Wednesday, March 17, 10"
22,"Saturday, March 20, 10"
3,"Tuesday, March 23, 10"
16,"Friday, March 12, 10"
39,"Wednesday, March 3, 10"
19,"Tuesday, March 16, 10"
7,"Sunday, March 21, 10"
16,"Thursday, March 25, 10"
19,"Wednesday, March 10, 10"
18,"Saturday, March 13, 10"
31,"Saturday, April 10, 10"
2,"Sunday, April 18, 10"
10,"Wednesday, April 14, 10"
32,"Friday, April 9, 10"
26,"Saturday, April 3, 10"
8,"Friday, April 2, 10"
37,"Saturday, April 17, 10"
10,"Monday, April 26, 10"
6,"Tuesday, April 20, 10"
20,"Tuesday, April 27, 10"
23,"Wednesday, April 21, 10"
9,"Wednesday, April 28, 10"
29,"Friday, April 16, 10"
8,"Wednesday, April 7, 10"
7,"Monday, April 19, 10"
39,"Thursday, April 15, 10"
19,"Sunday, April 11, 10"
7,"Tuesday, April 13, 10"
18,"Monday, May 3, 10"
28,"Saturday, May 15, 10"
26,"Friday, May 14, 10"
36,"Thursday, May 27, 10"
30,"Sunday, May 9, 10"
5,"Thursday, May 6, 10"
29,"Wednesday, May 5, 10"
26,"Saturday, May 8, 10"
30,"Friday, May 7, 10"
5,"Sunday, May 23, 10"
40,"Monday, May 17, 10"
20,"Saturday, May 22, 10"
3,"Monday, May 10, 10"
11,"Sunday, May 16, 10"
9,"Tuesday, May 11, 10"
6,"Tuesday, May 4, 10"
19,"Saturday, June 26, 10"
21,"Tuesday, June 8, 10"
24,"Sunday, June 6, 10"
40,"Monday, June 21, 10"
21,"Thursday, June 17, 10"
11,"Wednesday, June 23, 10"
32,"Wednesday, June 9, 10"
33,"Friday, June 11, 10"
13,"Saturday, June 12, 10"
20,"Monday, June 7, 10"
13,"Friday, June 4, 10"
8,"Monday, June 14, 10"
23,"Friday, June 18, 10"
14,"Wednesday, June 2, 10"
14,"Thursday, June 3, 10"
35,"Sunday, June 13, 10"
24,"Monday, June 28, 10"
3,"Tuesday, June 1, 10"
25,"Thursday, June 24, 10"
11,"Sunday, June 20, 10"
13,"Thursday, June 10, 10"
14,"Friday, June 25, 10"
25,"Saturday, July 3, 10"
18,"Saturday, July 24, 10"
25,"Monday, July 19, 10"
3,"Thursday, July 8, 10"
7,"Thursday, July 15, 10"
8,"Monday, July 26, 10"
22,"Tuesday, July 6, 10"
13,"Sunday, July 25, 10"
5,"Thursday, July 22, 10"
35,"Tuesday, July 27, 10"
6,"Wednesday, July 14, 10"
2,"Wednesday, July 7, 10"
16,"Monday, July 5, 10"
17,"Friday, July 2, 10"
25,"Saturday, July 17, 10"
8,"Saturday, July 10, 10"
17,"Thursday, July 1, 10"
16,"Wednesday, July 21, 10"
29,"Sunday, August 22, 10"
3,"Thursday, August 5, 10"
23,"Monday, August 2, 10"
13,"Tuesday, August 3, 10"
6,"Saturday, August 7, 10"
30,"Monday, August 9, 10"
30,"Wednesday, August 11, 10"
21,"Wednesday, August 25, 10"
11,"Sunday, August 1, 10"
25,"Friday, August 27, 10"
10,"Friday, August 6, 10"
33,"Sunday, August 8, 10"
2,"Saturday, August 21, 10"
18,"Saturday, August 28, 10"
37,"Tuesday, September 14, 10"
38,"Tuesday, September 7, 10"
7,"Sunday, September 19, 10"
15,"Friday, September 10, 10"
24,"Thursday, September 2, 10"
21,"Monday, September 6, 10"
23,"Monday, September 27, 10"
31,"Tuesday, September 21, 10"
11,"Wednesday, September 15, 10"
12,"Saturday, September 4, 10"
23,"Thursday, September 16, 10"
38,"Thursday, September 23, 10"
12,"Friday, September 3, 10"
23,"Sunday, September 12, 10"
15,"Tuesday, September 28, 10"
25,"Saturday, September 25, 10"
38,"Sunday, October 17, 10"
18,"Wednesday, October 6, 10"
36,"Sunday, October 24, 10"
13,"Tuesday, October 19, 10"
33,"Friday, October 22, 10"
20,"Thursday, October 14, 10"
23,"Monday, October 18, 10"
6,"Wednesday, October 20, 10"
14,"Saturday, October 23, 10"
11,"Monday, October 4, 10"
40,"Tuesday, October 5, 10"
13,"Saturday, October 16, 10"
37,"Tuesday, October 12, 10"
35,"Tuesday, October 26, 10"
28,"Monday, October 11, 10"
18,"Thursday, October 7, 10"
37,"Friday, October 15, 10"
35,"Saturday, November 6, 10"
27,"Friday, November 26, 10"
33,"Wednesday, November 24, 10"
13,"Sunday, November 28, 10"
37,"Sunday, November 21, 10"
11,"Monday, November 22, 10"
6,"Friday, November 5, 10"
24,"Thursday, November 4, 10"
23,"Thursday, November 18, 10"
25,"Saturday, November 20, 10"
21,"Tuesday, November 23, 10"
11,"Thursday, November 11, 10"
6,"Thursday, November 25, 10"
38,"Sunday, November 14, 10"
8,"Wednesday, November 17, 10"
27,"Tuesday, November 2, 10"
2,"Saturday, November 13, 10"
14,"Sunday, November 7, 10"
25,"Saturday, November 27, 10"
25,"Monday, December 27, 10"
22,"Sunday, December 12, 10"
12,"Saturday, December 25, 10"
27,"Wednesday, December 1, 10"
3,"Friday, December 3, 10"
11,"Monday, December 13, 10"
28,"Monday, December 20, 10"
9,"Wednesday, December 8, 10"
26,"Sunday, December 19, 10"
17,"Tuesday, December 14, 10"
39,"Saturday, December 11, 10"
33,"Saturday, December 4, 10"
34,"Thursday, December 2, 10"
40,"Tuesday, January 4, 11"
34,"Monday, January 10, 11"
10,"Monday, January 3, 11"
25,"Thursday, January 27, 11"
39,"Monday, January 24, 11"
12,"Monday, January 17, 11"
8,"Saturday, January 15, 11"
33,"Sunday, January 16, 11"
