minutes,time
36,1/25/10 12:00 AM
27,1/8/10 12:00 AM
36,1/7/10 12:00 AM
8,1/17/10 12:00 AM
29,1/11/10 12:00 AM
22,1/28/10 12:00 AM
26,1/27/10 12:00 AM
39,1/14/10 12:00 AM
24,1/13/10 12:00 AM
34,1/15/10 12:00 AM
17,1/23/10 12:00 AM
22,1/1/10 12:00 AM
8,1/5/10 12:00 AM
5,1/26/10 12:00 AM
19,2/18/10 12:00 AM
29,2/10/10 12:00 AM
27,2/4/10 12:00 AM
3,2/17/10 12:00 AM
20,2/5/10 12:00 AM
17,2/7/10 12:00 AM
32,2/8/10 12:00 AM
4,2/26/10 12:00 AM
33,2/13/10 12:00 AM
38,2/25/10 12:00 AM
10,2/23/10 12:00 AM
26,2/20/10 12:00 AM
3,2/28/10 12:00 AM
32,2/24/10 12:00 AM
3,2/1/10 12:00 AM
21,2/9/10 12:00 AM
9,2/2/10 12:00 AM
30,2/6/10 12:00 AM
8,2/3/10 12:00 AM
30,3/15/10 12:00 AM
3,3/5/10 12:00 AM
12,3/2/10 12:00 AM
39,3/19/10 12:00 AM
40,3/22/10 12:00 AM
8,3/4/10 12:00 AM
32,3/8/10 12:00 AM
8,3/9/10 12:00 AM
25,3/26/10 12:00 AM
2,3/17/10 12:00 AM
22,3/20/10 12:00 AM
3,3/23/10 12:00 AM
16,3/12/10 12:00 AM
39,3/3/10 12:00 AM
19,3/16/10 12:00 AM
7,3/21/10 12:00 AM
16,3/25/10 12:00 AM
19,3/10/10 12:00 AM
18,3/13/10 12:00 AM
31,4/10/10 12:00 AM
2,4/18/10 12:00 AM
10,4/14/10 12:00 AM
32,4/9/10 12:00 AM
26,4/3/10 12:00 AM
8,4/2/10 12:00 AM
37,4/17/10 12:00 AM
10,4/26/10 12:00 AM
6,4/20/10 12:00 AM
20,4/27/10 12:00 AM
23,4/21/10 12:00 AM
9,4/28/10 12:00 AM
29,4/16/10 12:00 AM
8,4/7/10 12:00 AM
7,4/19/10 12:00 AM
39,4/15/10 12:00 AM
19,4/11/10 12:00 AM
7,4/13/10 12:00 AM
18,5/3/10 12:00 AM
28,5/15/10 12:00 AM
26,5/14/10 12:00 AM
36,5/27/10 12:00 AM
30,5/9/10 12:00 AM
5,5/6/10 12:00 AM
29,5/5/10 12:00 AM
26,5/8/10 12:00 AM
30,5/7/10 12:00 AM
5,5/23/10 12:00 AM
40,5/17/10 12:00 AM
20,5/22/10 12:00 AM
3,5/10/10 12:00 AM
11,5/16/10 12:00 AM
9,5/11/10 12:00 AM
6,5/4/10 12:00 AM
19,6/26/10 12:00 AM
21,6/8/10 12:00 AM
24,6/6/10 12:00 AM
40,6/21/10 12:00 AM
21,6/17/10 12:00 AM
11,6/23/10 12:00 AM
32,6/9/10 12:00 AM
33,6/11/10 12:00 AM
13,6/12/10 12:00 AM
20,6/7/10 12:00 AM
13,6/4/10 12:00 AM
8,6/14/10 12:00 AM
23,6/18/10 12:00 AM
14,6/2/10 12:00 AM
14,6/3/10 12:00 AM
35,6/13/10 12:00 AM
24,6/28/10 12:00 AM
3,6/1/10 12:00 AM
25,6/24/10 12:00 AM
11,6/20/10 12:00 AM
13,6/10/10 12:00 AM
14,6/25/10 12:00 AM
25,7/3/10 12:00 AM
18,7/24/10 12:00 AM
25,7/19/10 12:00 AM
3,7/8/10 12:00 AM
7,7/15/10 12:00 AM
8,7/26/10 12:00 AM
22,7/6/10 12:00 AM
13,7/25/10 12:00 AM
5,7/22/10 12:00 AM
35,7/27/10 12:00 AM
6,7/14/10 12:00 AM
2,7/7/10 12:00 AM
16,7/5/10 12:00 AM
17,7/2/10 12:00 AM
25,7/17/10 12:00 AM
8,7/10/10 12:00 AM
17,7/1/10 12:00 AM
16,7/21/10 12:00 AM
29,8/22/10 12:00 AM
3,8/5/10 12:00 AM
23,8/2/10 12:00 AM
13,8/3/10 12:00 AM
6,8/7/10 12:00 AM
30,8/9/10 12:00 AM
30,8/11/10 12:00 AM
21,8/25/10 12:00 AM
11,8/1/10 12:00 AM
25,8/27/10 12:00 AM
10,8/6/10 12:00 AM
33,8/8/10 12:00 AM
2,8/21/10 12:00 AM
18,8/28/10 12:00 AM
37,9/14/10 12:00 AM
38,9/7/10 12:00 AM
7,9/19/10 12:00 AM
15,9/10/10 12:00 AM
24,9/2/10 12:00 AM
21,9/6/10 12:00 AM
23,9/27/10 12:00 AM
31,9/21/10 12:00 AM
11,9/15/10 12:00 AM
12,9/4/10 12:00 AM
23,9/16/10 12:00 AM
38,9/23/10 12:00 AM
12,9/3/10 12:00 AM
23,9/12/10 12:00 AM
15,9/28/10 12:00 AM
25,9/25/10 12:00 AM
38,10/17/10 12:00 AM
18,10/6/10 12:00 AM
36,10/24/10 12:00 AM
13,10/19/10 12:00 AM
33,10/22/10 12:00 AM
20,10/14/10 12:00 AM
23,10/18/10 12:00 AM
6,10/20/10 12:00 AM
14,10/23/10 12:00 AM
11,10/4/10 12:00 AM
