minutes,time
36,1/25/2010
27,1/8/2010
36,1/7/2010
8,1/17/2010
29,1/11/2010
22,1/28/2010
26,1/27/2010
39,1/14/2010
24,1/13/2010
34,1/15/2010
17,1/23/2010
22,1/1/2010
8,1/5/2010
5,1/26/2010
19,2/18/2010
29,2/10/2010
27,2/4/2010
3,2/17/2010
20,2/5/2010
17,2/7/2010
32,2/8/2010
4,2/26/2010
33,2/13/2010
38,2/25/2010
10,2/23/2010
26,2/20/2010
3,2/28/2010
32,2/24/2010
3,2/1/2010
21,2/9/2010
9,2/2/2010
30,2/6/2010
8,2/3/2010
30,3/15/2010
3,3/5/2010
12,3/2/2010
39,3/19/2010
40,3/22/2010
8,3/4/2010
32,3/8/2010
8,3/9/2010
25,3/26/2010
2,3/17/2010
22,3/20/2010
3,3/23/2010
16,3/12/2010
39,3/3/2010
19,3/16/2010
7,3/21/2010
16,3/25/2010
19,3/10/2010
18,3/13/2010
31,4/10/2010
2,4/18/2010
10,4/14/2010
32,4/9/2010
26,4/3/2010
8,4/2/2010
37,4/17/2010
10,4/26/2010
6,4/20/2010
20,4/27/2010
23,4/21/2010
9,4/28/2010
29,4/16/2010
8,4/7/2010
7,4/19/2010
39,4/15/2010
19,4/11/2010
7,4/13/2010
18,5/3/2010
28,5/15/2010
26,5/14/2010
36,5/27/2010
30,5/9/2010
5,5/6/2010
29,5/5/2010
26,5/8/2010
30,5/7/2010
5,5/23/2010
40,5/17/2010
20,5/22/2010
3,5/10/2010
11,5/16/2010
9,5/11/2010
6,5/4/2010
19,6/26/2010
21,6/8/2010
24,6/6/2010
40,6/21/2010
21,6/17/2010
11,6/23/2010
32,6/9/2010
33,6/11/2010
13,6/12/2010
20,6/7/2010
13,6/4/2010
8,6/14/2010
23,6/18/2010
14,6/2/2010
14,6/3/2010
35,6/13/2010
24,6/28/2010
3,6/1/2010
25,6/24/2010
11,6/20/2010
13,6/10/2010
14,6/25/2010
25,7/3/2010
18,7/24/2010
25,7/19/2010
3,7/8/2010
7,7/15/2010
8,7/26/2010
22,7/6/2010
13,7/25/2010
5,7/22/2010
35,7/27/2010
6,7/14/2010
2,7/7/2010
16,7/5/2010
17,7/2/2010
25,7/17/2010
8,7/10/2010
17,7/1/2010
16,7/21/2010
29,8/22/2010
3,8/5/2010
23,8/2/2010
13,8/3/2010
6,8/7/2010
30,8/9/2010
30,8/11/2010
21,8/25/2010
11,8/1/2010
25,8/27/2010
10,8/6/2010
33,8/8/2010
2,8/21/2010
18,8/28/2010
37,9/14/2010
38,9/7/2010
7,9/19/2010
15,9/10/2010
24,9/2/2010
21,9/6/2010
23,9/27/2010
31,9/21/2010
11,9/15/2010
12,9/4/2010
23,9/16/2010
38,9/23/2010
12,9/3/2010
23,9/12/2010
15,9/28/2010
25,9/25/2010
38,10/17/2010
18,10/6/2010
36,10/24/2010
13,10/19/2010
33,10/22/2010
20,10/14/2010
23,10/18/2010
6,10/20/2010
14,10/23/2010
11,10/4/2010
40,10/5/2010
13,10/16/2010
37,10/12/2010
35,10/26/2010
28,10/11/2010
18,10/7/2010
37,10/15/2010
35,11/6/2010
27,11/26/2010
33,11/24/2010
13,11/28/2010
37,11/21/2010
11,11/22/2010
6,11/5/2010
24,11/4/2010
23,11/18/2010
25,11/20/2010
21,11/23/2010
11,11/11/2010
6,11/25/2010
38,11/14/2010
8,11/17/2010
27,11/2/2010
2,11/13/2010
14,11/7/2010
25,11/27/2010
25,12/27/2010
22,12/12/2010
12,12/25/2010
27,12/1/2010
3,12/3/2010
11,12/13/2010
28,12/20/2010
9,12/8/2010
26,12/19/2010
17,12/14/2010
39,12/11/2010
33,12/4/2010
34,12/2/2010
40,1/4/2011
34,1/10/2011
10,1/3/2011
25,1/27/2011
39,1/24/2011
12,1/17/2011
8,1/15/2011
33,1/16/2011
39,1/19/2011
8,1/28/2011
19,1/14/2011
13,1/1/2011
2,1/22/2011
34,1/25/2011
10,1/18/2011
24,1/23/2011
36,1/13/2011
5,1/11/2011
9,1/12/2011
30,1/26/2011
32,1/9/2011
32,1/20/2011
16,1/8/2011
14,1/7/2011
9,1/5/2011
34,1/6/2011
22,2/19/2011
30,2/20/2011
26,2/4/2011
3,2/25/2011
37,2/23/2011
3,2/26/2011
36,2/22/2011
34,2/17/2011
6,2/11/2011
40,2/16/2011
11,2/5/2011
24,2/3/2011
25,2/8/2011
32,2/9/2011
32,2/7/2011
39,2/6/2011
24,2/13/2011
35,2/2/2011
38,2/24/2011
32,3/26/2011
40,4/10/2011
13,4/12/2011
26,4/6/2011
5,4/3/2011
17,4/2/2011
18,4/24/2011
23,4/9/2011
9,4/11/2011
6,4/26/2011
28,4/27/2011
14,4/22/2011
6,4/23/2011
13,4/18/2011
29,4/16/2011
19,4/20/2011
20,4/1/2011
21,4/7/2011
27,4/25/2011
13,4/21/2011
5,4/19/2011
6,4/14/2011
21,4/8/2011
31,4/4/2011
40,4/17/2011
33,6/11/2011
16,6/4/2011
