minutes,time
36,2010-01-25
27,2010-01-08
36,2010-01-07
8,2010-01-17
29,2010-01-11
22,2010-01-28
26,2010-01-27
39,2010-01-14
24,2010-01-13
34,2010-01-15
17,2010-01-23
22,2010-01-01
8,2010-01-05
5,2010-01-26
19,2010-02-18
29,2010-02-10
27,2010-02-04
3,2010-02-17
20,2010-02-05
17,2010-02-07
32,2010-02-08
4,2010-02-26
33,2010-02-13
38,2010-02-25
10,2010-02-23
26,2010-02-20
3,2010-02-28
32,2010-02-24
3,2010-02-01
21,2010-02-09
9,2010-02-02
30,2010-02-06
8,2010-02-03
30,2010-03-15
3,2010-03-05
12,2010-03-02
39,2010-03-19
40,2010-03-22
8,2010-03-04
32,2010-03-08
8,2010-03-09
25,2010-03-26
2,2010-03-17
22,2010-03-20
3,2010-03-23
16,2010-03-12
39,2010-03-03
19,2010-03-16
7,2010-03-21
16,2010-03-25
19,2010-03-10
18,2010-03-13
31,2010-04-10
2,2010-04-18
10,2010-04-14
32,2010-04-09
26,2010-04-03
8,2010-04-02
37,2010-04-17
10,2010-04-26
6,2010-04-20
20,2010-04-27
23,2010-04-21
9,2010-04-28
29,2010-04-16
8,2010-04-07
7,2010-04-19
39,2010-04-15
19,2010-04-11
7,2010-04-13
18,2010-05-03
28,2010-05-15
26,2010-05-14
36,2010-05-27
30,2010-05-09
5,2010-05-06
29,2010-05-05
26,2010-05-08
30,2010-05-07
5,2010-05-23
40,2010-05-17
20,2010-05-22
3,2010-05-10
11,2010-05-16
9,2010-05-11
6,2010-05-04
19,2010-06-26
21,2010-06-08
24,2010-06-06
40,2010-06-21
21,2010-06-17
11,2010-06-23
32,2010-06-09
33,2010-06-11
13,2010-06-12
20,2010-06-07
13,2010-06-04
8,2010-06-14
23,2010-06-18
14,2010-06-02
14,2010-06-03
35,2010-06-13
24,2010-06-28
3,2010-06-01
25,2010-06-24
11,2010-06-20
13,2010-06-10
14,2010-06-25
25,2010-07-03
18,2010-07-24
25,2010-07-19
3,2010-07-08
7,2010-07-15
8,2010-07-26
22,2010-07-06
13,2010-07-25
5,2010-07-22
35,2010-07-27
6,2010-07-14
2,2010-07-07
16,2010-07-05
17,2010-07-02
25,2010-07-17
8,2010-07-10
17,2010-07-01
16,2010-07-21
29,2010-08-22
3,2010-08-05
23,2010-08-02
13,2010-08-03
6,2010-08-07
30,2010-08-09
30,2010-08-11
21,2010-08-25
11,2010-08-01
25,2010-08-27
10,2010-08-06
33,2010-08-08
2,2010-08-21
18,2010-08-28
37,2010-09-14
38,2010-09-07
7,2010-09-19
15,2010-09-10
24,2010-09-02
21,2010-09-06
23,2010-09-27
31,2010-09-21
11,2010-09-15
12,2010-09-04
23,2010-09-16
38,2010-09-23
12,2010-09-03
23,2010-09-12
15,2010-09-28
25,2010-09-25
38,2010-10-17
18,2010-10-06
36,2010-10-24
13,2010-10-19
33,2010-10-22
20,2010-10-14
23,2010-10-18
6,2010-10-20
14,2010-10-23
11,2010-10-04
40,2010-10-05
13,2010-10-16
37,2010-10-12
35,2010-10-26
28,2010-10-11
18,2010-10-07
37,2010-10-15
